seed,lr,k,rg,layer,Best/Test/bpd
42,0.01,128,QG,cp-shared,5.770815372
42,0.01,16,QG,cp-shared,6.160721461
42,0.01,256,QG,cp-shared,5.731132507
42,0.01,32,QG,cp-shared,5.960143566
42,0.01,64,QG,cp-shared,5.816019535
42,0.01,128,QG,cp,5.329436779
42,0.01,16,QG,cp,5.755806605
42,0.01,32,QG,cp,5.532250881
42,0.01,64,QG,cp,5.390626907
42,0.01,16,QG,tucker,5.741702398
42,0.01,32,QG,tucker,5.498299122
42,0.01,128,QG,cp-shared-new,5.714958668
42,0.01,16,QG,cp-shared-new,6.071856976
42,0.01,256,QG,cp-shared-new,5.70211792
42,0.01,32,QG,cp-shared-new,5.879966736
42,0.01,64,QG,cp-shared-new,5.750589371
42,0.01,128,RQT,cp-shared-new,5.75774765
42,0.01,16,RQT,cp-shared-new,6.169193268
42,0.01,256,RQT,cp-shared-new,5.756126881
42,0.01,32,RQT,cp-shared-new,5.980207443
42,0.01,64,RQT,cp-shared-new,5.836612225
42,0.01,128,RQT,cp-shared,5.717897415
42,0.01,16,RQT,cp-shared,6.234541416
42,0.01,256,RQT,cp-shared,5.731044769
42,0.01,32,RQT,cp-shared,6.031357765
42,0.01,64,RQT,cp-shared,5.822292805
42,0.01,128,RQT,cp,5.374650478
42,0.01,16,RQT,cp,5.825069904
42,0.01,256,RQT,cp,5.332163334
42,0.01,32,RQT,cp,5.607584476
42,0.01,64,RQT,cp,5.453361511
