dataset,k,rg,layer,Best/Test/bpd,train_time
fashion_mnist,128.0,PD,cp-shared,3.774137735366821,418.5509033203125
fashion_mnist,16.0,PD,cp-shared,3.7560980319976807,441.9814758300781
fashion_mnist,256.0,PD,cp-shared,3.805588960647583,533.38525390625
fashion_mnist,32.0,PD,cp-shared,3.7397656440734863,423.5888977050781
fashion_mnist,512.0,PD,cp-shared,3.826008081436157,915.4603271484376
fashion_mnist,64.0,PD,cp-shared,3.7461249828338623,376.2817993164063
fashion_mnist,128.0,PD,cp,3.751266717910767,306.2308959960937
fashion_mnist,16.0,PD,cp,3.713141679763794,565.7562255859375
fashion_mnist,256.0,PD,cp,3.793692350387573,523.0401000976562
fashion_mnist,32.0,PD,cp,3.705752372741699,348.044189453125
fashion_mnist,512.0,PD,cp,3.833378791809082,1333.4786376953125
fashion_mnist,64.0,PD,cp,3.72496485710144,283.3580627441406
fashion_mnist,16.0,PD,tucker,3.717381238937378,959.7767333984376
fashion_mnist,32.0,PD,tucker,3.711106777191162,663.347412109375
fashion_mnist,64.0,PD,tucker,3.7283859252929688,1311.1580810546875
fashion_mnist,128.0,QG,cp-shared,3.4810941219329834,1754.255126953125
fashion_mnist,16.0,QG,cp-shared,3.724610328674317,1944.4761962890625
fashion_mnist,256.0,QG,cp-shared,3.444186210632324,2582.06103515625
fashion_mnist,32.0,QG,cp-shared,3.645528554916382,2033.9066162109373
fashion_mnist,512.0,QG,cp-shared,3.4129621982574463,4403.0498046875
fashion_mnist,64.0,QG,cp-shared,3.54595685005188,1786.1737060546875
fashion_mnist,128.0,QG,cp,3.3271234035491943,2234.693115234375
fashion_mnist,16.0,QG,cp,3.4591851234436035,2720.044677734375
fashion_mnist,256.0,QG,cp,3.3239662647247314,2775.554443359375
fashion_mnist,32.0,QG,cp,3.380323648452759,2735.0986328125
fashion_mnist,512.0,QG,cp,3.324702024459839,5996.3994140625
fashion_mnist,64.0,QG,cp,3.342207908630371,2293.339111328125
fashion_mnist,16.0,QG,tucker,3.44442081451416,4344.58837890625
fashion_mnist,32.0,QG,tucker,3.413010597229004,6167.5634765625
fashion_mnist,64.0,QG,tucker,3.5226850509643555,3562.29541015625
fashion_mnist,128.0,RQT,cp-shared,3.586195946,314.5370789
fashion_mnist,16.0,RQT,cp-shared,3.794318676,356.7286377
fashion_mnist,256.0,RQT,cp-shared,3.54096818,438.7016602
fashion_mnist,32.0,RQT,cp-shared,3.714713812,365.7935181
fashion_mnist,512.0,RQT,cp-shared,3.510114193,761.5299683
fashion_mnist,64.0,RQT,cp-shared,3.644098759,264.8477783
fashion_mnist,128.0,RQT,cp,3.407670498,363.5488281
fashion_mnist,16.0,RQT,cp,3.591191292,475.4832764
fashion_mnist,256.0,RQT,cp,3.391801596,401.2849731
fashion_mnist,32.0,RQT,cp,3.496335506,479.4313965
fashion_mnist,512.0,RQT,cp,3.379607201,663.928894
fashion_mnist,64.0,RQT,cp,3.441959143,325.2955322
