k,rg,layer,Best/Test/bpd,train_time,seed
128.0,PD,cp-shared,3.774137735,418.5509033,42.0
16.0,PD,cp-shared,3.756098032,441.9814758,42.0
256.0,PD,cp-shared,3.805588961,533.3852539,42.0
32.0,PD,cp-shared,3.739765644,423.5888977,42.0
512.0,PD,cp-shared,3.826008081,915.4603271,42.0
64.0,PD,cp-shared,3.746124983,376.2817993,42.0
128.0,PD,cp,3.751266718,306.230896,42.0
16.0,PD,cp,3.71314168,565.7562256,42.0
256.0,PD,cp,3.79369235,523.0401001,42.0
32.0,PD,cp,3.705752373,348.0441895,42.0
512.0,PD,cp,3.833378792,1333.478638,42.0
64.0,PD,cp,3.724964857,283.3580627,42.0
16.0,PD,tucker,3.717381239,959.7767334,42.0
32.0,PD,tucker,3.711106777,663.3474121,42.0
64.0,PD,tucker,3.728385925,1311.158081,42.0
128.0,QG,cp-shared,3.481094122,1754.255127,42.0
16.0,QG,cp-shared,3.724610329,1944.476196,42.0
256.0,QG,cp-shared,3.444186211,2582.061035,42.0
32.0,QG,cp-shared,3.645528555,2033.906616,42.0
512.0,QG,cp-shared,3.412962198,4403.049805,42.0
64.0,QG,cp-shared,3.54595685,1786.173706,42.0
128.0,QG,cp,3.327123404,2234.693115,42.0
16.0,QG,cp,3.459185123,2720.044678,42.0
256.0,QG,cp,3.323966265,2775.554443,42.0
32.0,QG,cp,3.380323648,2735.098633,42.0
512.0,QG,cp,3.324702024,5996.399414,42.0
64.0,QG,cp,3.342207909,2293.339111,42.0
16.0,QG,tucker,3.444420815,4344.588379,42.0
32.0,QG,tucker,3.413010597,6167.563477,42.0
64.0,QG,tucker,3.522685051,3562.29541,42.0
128.0,RQT,cp-shared,3.586195946,314.5370789,42.0
16.0,RQT,cp-shared,3.794318676,356.7286377,42.0
256.0,RQT,cp-shared,3.54096818,438.7016602,42.0
32.0,RQT,cp-shared,3.714713812,365.7935181,42.0
512.0,RQT,cp-shared,3.510114193,761.5299683,42.0
64.0,RQT,cp-shared,3.644098759,264.8477783,42.0
128.0,RQT,cp,3.407670498,363.5488281,42.0
16.0,RQT,cp,3.591191292,475.4832764,42.0
256.0,RQT,cp,3.391801596,401.2849731,42.0
32.0,RQT,cp,3.496335506,479.4313965,42.0
512.0,RQT,cp,3.379607201,663.928894,42.0
64.0,RQT,cp,3.441959143,325.2955322,42.0
128.0,PD,cp-shared,3.770677805,429.0873108,13.0
128.0,PD,cp-shared,3.776534081,429.7376099,17.0
128.0,PD,cp-shared,3.777885199,429.0343628,1337.0
128.0,PD,cp-shared,3.772165775,429.7619019,7331.0
16.0,PD,cp-shared,3.75461936,363.4963684,13.0
16.0,PD,cp-shared,3.756067514,367.9173279,17.0
16.0,PD,cp-shared,3.76142621,297.3475037,1337.0
16.0,PD,cp-shared,3.756937265,299.3422241,7331.0
256.0,PD,cp-shared,3.803006649,473.4822998,13.0
256.0,PD,cp-shared,3.796799183,473.7238464,17.0
256.0,PD,cp-shared,3.804377079,473.375946,1337.0
256.0,PD,cp-shared,3.796878815,473.5680542,7331.0
32.0,PD,cp-shared,3.741201639,513.6431885,13.0
32.0,PD,cp-shared,3.734685421,616.7489624,17.0
32.0,PD,cp-shared,3.732887506,617.9842529,1337.0
32.0,PD,cp-shared,3.739297867,515.4449463,7331.0
512.0,PD,cp-shared,3.835681438,729.8756714,13.0
512.0,PD,cp-shared,3.847054958,729.9159546,17.0
512.0,PD,cp-shared,3.839625597,729.2868652,1337.0
512.0,PD,cp-shared,3.831612825,729.9408569,7331.0
64.0,PD,cp-shared,3.748783112,437.4946594,13.0
64.0,PD,cp-shared,3.745425224,435.0371399,17.0
64.0,PD,cp-shared,3.751085281,488.1488647,1337.0
64.0,PD,cp-shared,3.751727819,490.448761,7331.0
128.0,PD,cp,3.751912117,213.1959686,13.0
128.0,PD,cp,3.750248909,214.1478119,17.0
128.0,PD,cp,3.753815889,212.7128601,1337.0
128.0,PD,cp,3.75381279,213.2508698,7331.0
16.0,PD,cp,3.716658831,491.8125916,13.0
16.0,PD,cp,3.725791216,524.2766724,17.0
16.0,PD,cp,3.719825983,356.4495544,1337.0
16.0,PD,cp,3.718111753,533.8168945,7331.0
256.0,PD,cp,3.784958363,344.1055603,13.0
256.0,PD,cp,3.792470694,343.0013428,17.0
256.0,PD,cp,3.78768158,344.086792,1337.0
256.0,PD,cp,3.791091204,343.5028076,7331.0
32.0,PD,cp,3.712215185,250.2381744,13.0
32.0,PD,cp,3.703000307,290.9069519,17.0
32.0,PD,cp,3.70245862,307.940918,1337.0
32.0,PD,cp,3.702593803,269.865387,7331.0
64.0,PD,cp,3.730273008,199.4349976,13.0
64.0,PD,cp,3.720070362,222.3190002,17.0
64.0,PD,cp,3.722867489,199.2555695,1337.0
64.0,PD,cp,3.724438429,221.1910095,7331.0
16.0,PD,tucker,3.720235109,593.7034912,13.0
16.0,PD,tucker,3.726716518,861.0415039,17.0
16.0,PD,tucker,3.712849379,636.253418,1337.0
16.0,PD,tucker,3.718735695,830.6761475,7331.0
32.0,PD,tucker,3.710385084,496.9969788,13.0
32.0,PD,tucker,3.707980633,720.9599609,17.0
32.0,PD,tucker,3.70830965,565.6204834,1337.0
32.0,PD,tucker,3.708261728,528.6782837,7331.0
64.0,PD,tucker,3.736987352,894.7618408,13.0
64.0,PD,tucker,3.727038383,795.5352173,17.0
64.0,PD,tucker,3.735850334,896.6622314,1337.0
64.0,PD,tucker,3.727670193,895.1544189,7331.0
128.0,QG,cp-shared,3.484568834,1704.763062,13.0
128.0,QG,cp-shared,3.483052969,1957.63147,17.0
128.0,QG,cp-shared,3.489507437,1811.232544,1337.0
128.0,QG,cp-shared,3.496415854,1806.303101,7331.0
16.0,QG,cp-shared,3.73838973,1200.403931,13.0
16.0,QG,cp-shared,3.745573521,1206.721313,17.0
16.0,QG,cp-shared,3.750063181,1182.205444,1337.0
16.0,QG,cp-shared,3.746142387,1164.299927,7331.0
256.0,QG,cp-shared,3.457666159,2151.569092,13.0
256.0,QG,cp-shared,3.446803093,2105.722656,17.0
32.0,QG,cp-shared,3.636098862,3029.932373,13.0
32.0,QG,cp-shared,3.625352144,3330.462402,17.0
32.0,QG,cp-shared,3.641426325,2101.38501,1337.0
32.0,QG,cp-shared,3.627267838,2350.699463,7331.0
512.0,QG,cp-shared,3.404554367,3058.679688,13.0
512.0,QG,cp-shared,3.41042304,3135.71582,17.0
64.0,QG,cp-shared,3.554634333,1790.750977,13.0
64.0,QG,cp-shared,3.559793949,1810.727905,17.0
64.0,QG,cp-shared,3.563373089,2154.71167,1337.0
64.0,QG,cp-shared,3.553510904,2096.75293,7331.0
128.0,QG,cp,3.326268196,1598.465088,13.0
128.0,QG,cp,3.325737953,1610.567627,17.0
128.0,QG,cp,3.325748682,1611.197388,1337.0
128.0,QG,cp,3.326499939,1712.426025,7331.0
16.0,QG,cp,3.460584402,2227.449707,13.0
16.0,QG,cp,3.459207773,2329.815674,17.0
16.0,QG,cp,3.45773983,2342.070557,1337.0
16.0,QG,cp,3.457457542,2663.5625,7331.0
256.0,QG,cp,3.325773478,1900.748047,13.0
256.0,QG,cp,3.325730085,1902.255127,17.0
32.0,QG,cp,3.381647348,2265.263672,13.0
32.0,QG,cp,3.380198002,2319.596436,17.0
32.0,QG,cp,3.380922556,2080.412354,1337.0
32.0,QG,cp,3.380603075,2665.523682,7331.0
