dataset,k,rg,layer,Best/Test/bpd,train_time
fashion_mnist,128.0,PD,cp-shared,3.7741377353668213,418.5509033203125
fashion_mnist,16.0,PD,cp-shared,3.7560980319976807,441.9814758300781
fashion_mnist,256.0,PD,cp-shared,3.805588960647583,533.38525390625
fashion_mnist,32.0,PD,cp-shared,3.7397656440734863,423.5888977050781
fashion_mnist,512.0,PD,cp-shared,3.8260080814361572,915.4603271484375
fashion_mnist,64.0,PD,cp-shared,3.7461249828338623,376.28179931640625
fashion_mnist,128.0,PD,cp,3.7512667179107666,306.23089599609375
fashion_mnist,16.0,PD,cp,3.713141679763794,565.7562255859375
fashion_mnist,256.0,PD,cp,3.7936923503875732,523.0401000976562
fashion_mnist,32.0,PD,cp,3.705752372741699,348.044189453125
fashion_mnist,512.0,PD,cp,3.833378791809082,1333.4786376953125
fashion_mnist,64.0,PD,cp,3.7249648571014404,283.3580627441406
fashion_mnist,16.0,PD,tucker,3.717381238937378,959.7767333984375
fashion_mnist,32.0,PD,tucker,3.711106777191162,663.347412109375
fashion_mnist,64.0,PD,tucker,3.7283859252929688,1311.1580810546875
fashion_mnist,128.0,QG,cp-shared,3.4810941219329834,1754.255126953125
fashion_mnist,16.0,QG,cp-shared,3.7246103286743164,1944.4761962890625
fashion_mnist,256.0,QG,cp-shared,3.444186210632324,2582.06103515625
fashion_mnist,32.0,QG,cp-shared,3.645528554916382,2033.9066162109375
fashion_mnist,512.0,QG,cp-shared,3.4129621982574463,4403.0498046875
fashion_mnist,64.0,QG,cp-shared,3.54595685005188,1786.1737060546875
fashion_mnist,128.0,QG,cp,3.3271234035491943,2234.693115234375
fashion_mnist,16.0,QG,cp,3.4591851234436035,2720.044677734375
fashion_mnist,256.0,QG,cp,3.3239662647247314,2775.554443359375
fashion_mnist,32.0,QG,cp,3.380323648452759,2735.0986328125
fashion_mnist,512.0,QG,cp,3.324702024459839,5996.3994140625
fashion_mnist,64.0,QG,cp,3.342207908630371,2293.339111328125
fashion_mnist,16.0,QG,tucker,3.44442081451416,4344.58837890625
fashion_mnist,32.0,QG,tucker,3.413010597229004,6167.5634765625
fashion_mnist,64.0,QG,tucker,3.5226850509643555,3562.29541015625
