seed,dataset,k,rg,layer,Best/Test/bpd,train_time,num_params,num_trainable_params
42,celeba,128,QG,cp-shared-new,5.718978882,199818.2031,403363072,404061952
42,celeba,16,QG,cp-shared-new,6.07165432,51582.04688,50380960,50468320
42,celeba,256,QG,cp-shared-new,5.671839237,38372.84375,807447040,808844800
42,celeba,32,QG,cp-shared-new,5.874949455,119442.1719,100773184,100947904
42,celeba,64,QG,cp-shared-new,5.742493153,145231.0781,201591424,201940864
42,celeba,128,QG,cp-shared,5.716727257,198282.3281,403363072,403013888
42,celeba,16,QG,cp-shared,6.279306889,50492.41406,50380960,50337312
42,celeba,256,QG,cp-shared,5.679333687,331782.3438,807447040,806748672
42,celeba,32,QG,cp-shared,6.032281876,117083.8125,100773184,100685888
42,celeba,64,QG,cp-shared,5.906335354,142475.6563,201591424,201416832
42,celeba,128,QG,cp,5.325082779,151554.5156,671307264,670958080
42,celeba,16,QG,cp,5.750905991,44811.56641,54567616,54523968
42,celeba,32,QG,cp,5.519165516,59008.70703,117519744,117432448
42,celeba,64,QG,cp,5.38154459,86788.28906,268577536,268402944
42,celeba,16,QG,tucker,5.734097958,62508.97266,83913856,83870208
42,celeba,32,QG,tucker,5.48538208,126663.8984,369057024,368969728
7331,fashion_mnist,128,PD,cp-shared-new,3.777574062,436.8183289,26439948,26450700
13,fashion_mnist,128,PD,cp-shared-new,3.770002127,434.1485596,26439948,26450700
17,fashion_mnist,128,PD,cp-shared-new,3.77298522,436.3621521,26439948,26450700
1337,fashion_mnist,128,PD,cp-shared-new,3.774058819,436.2309265,26439948,26450700
42,fashion_mnist,128,PD,cp-shared-new,3.778444529,435.6933594,26439948,26450700
17,fashion_mnist,16,PD,cp-shared-new,3.748415232,420.0815125,3265580,3266924
42,fashion_mnist,16,PD,cp-shared-new,3.745395422,432.6740417,3265580,3266924
7331,fashion_mnist,16,PD,cp-shared-new,3.751174212,771.1896362,3265580,3266924
1337,fashion_mnist,16,PD,cp-shared-new,3.752412319,473.0577087,3265580,3266924
13,fashion_mnist,16,PD,cp-shared-new,3.744360209,569.7080078,3265580,3266924
42,fashion_mnist,256,PD,cp-shared-new,3.804280281,544.2920532,53600780,53622284
13,fashion_mnist,256,PD,cp-shared-new,3.80045557,542.1351929,53600780,53622284
1337,fashion_mnist,256,PD,cp-shared-new,3.796519995,543.4835205,53600780,53622284
7331,fashion_mnist,256,PD,cp-shared-new,3.792068005,544.6409912,53600780,53622284
17,fashion_mnist,256,PD,cp-shared-new,3.800976753,543.3535156,53600780,53622284
13,fashion_mnist,32,PD,cp-shared-new,3.735009193,445.2746582,6542412,6545100
1337,fashion_mnist,32,PD,cp-shared-new,3.734483719,445.3631897,6542412,6545100
17,fashion_mnist,32,PD,cp-shared-new,3.738737822,488.370697,6542412,6545100
7331,fashion_mnist,32,PD,cp-shared-new,3.737027407,533.5117188,6542412,6545100
42,fashion_mnist,32,PD,cp-shared-new,3.73621583,535.5900879,6542412,6545100
17,fashion_mnist,512,PD,cp-shared-new,3.83076787,929.6191406,110085136,110128144
7331,fashion_mnist,512,PD,cp-shared-new,3.823720217,928.6480713,110085136,110128144
42,fashion_mnist,512,PD,cp-shared-new,3.824964046,922.65625,110085136,110128144
13,fashion_mnist,512,PD,cp-shared-new,3.836454153,925.8162842,110085136,110128144
