k,rg,layer,Best/Test/bpd,train_time,seed
16,PD,cp,1.386510253,416.5470276,42
32,PD,cp,1.381278038,284.0441589,42
64,PD,cp,1.377568483,227.5420074,42
128,PD,cp,1.379824638,358.816864,42
256,PD,cp,1.379258752,529.8931885,42
512,PD,cp,1.374982834,1328.673828,42
16,PD,cp-shared,1.391339302,363.3768311,42
32,PD,cp-shared,1.388105869,388.3955688,42
64,PD,cp-shared,1.384150147,333.4660339,42
128,PD,cp-shared,1.387061834,422.1555481,42
256,PD,cp-shared,1.386325479,541.0802002,42
512,PD,cp-shared,1.38347888,916.0021362,42
16,PD,tucker,1.380994558,449.3548584,42
32,PD,tucker,1.374332786,433.3389893,42
64,PD,tucker,1.372309804,1139.361816,42
16,QG,cp,1.250003099,1394.515747,42
32,QG,cp,1.211488128,1577.888672,42
64,QG,cp,1.190042853,1552.464478,42
128,QG,cp,1.179264665,1848.741699,42
256,QG,cp,1.17700243,2699.498779,42
512,QG,cp,1.17865479,5460.740723,42
16,QG,cp-shared,1.381695986,437.9126892,42
32,QG,cp-shared,1.334640622,1234.139404,42
64,QG,cp-shared,1.283172727,1154.438843,42
128,QG,cp-shared,1.242774963,1322.102417,42
256,QG,cp-shared,1.209218383,1847.056641,42
512,QG,cp-shared,1.199812293,2877.766357,42
16,QG,tucker,1.229655385,3473.253418,42
32,QG,tucker,1.222855568,4992.702637,42
64,QG,tucker,1.258238316,3327.44751,42
16,RQT,cp,1.283474803,312.3201599,42
32,RQT,cp,1.244159102,241.2021332,42
64,RQT,cp,1.217263579,300.7719116,42
128,RQT,cp,1.195213675,386.927063,42
256,RQT,cp,1.182911873,534.6240234,42
512,RQT,cp,1.174921513,816.3532104,42
16,RQT,cp-shared,1.395420671,243.8548584,42
32,RQT,cp-shared,1.329634309,305.3842468,42
64,RQT,cp-shared,1.306654096,273.49646,42
128,RQT,cp-shared,1.256997108,366.5095825,42
256,RQT,cp-shared,1.244313359,469.3232117,42
512,RQT,cp-shared,1.230743885,761.7848511,42
16,PD,cp,1.385062099,389.1281433,13
32,PD,cp,1.382857561,192.9286041,13
64,PD,cp,1.375636935,205.1490631,13
128,PD,cp,1.378102422,242.6649017,13
256,PD,cp,1.374839783,401.860199,13
512,PD,cp,1.376617193,1535.252686,13
16,PD,cp-shared,1.395413399,296.3743896,13
32,PD,cp-shared,1.386338234,411.8861084,13
64,PD,cp-shared,1.382506251,385.165863,13
128,PD,cp-shared,1.384271622,429.827301,13
256,PD,cp-shared,1.388246894,473.2118225,13
512,PD,cp-shared,1.381546617,730.574585,13
16,PD,tucker,1.37929523,439.6821594,13
32,PD,tucker,1.376652002,339.6221313,13
64,PD,tucker,1.371798873,806.3110962,13
16,QG,cp,1.248105288,1358.015015,13
32,QG,cp,1.213694096,1102.448486,13
64,QG,cp,1.191937804,1313.468994,13
128,QG,cp,1.178322792,1403.47168,13
256,QG,cp,1.176748991,1748.818359,13
512,QG,cp,1.179168224,3391.532471,13
16,QG,cp-shared,1.375162125,1014.338013,13
32,QG,cp-shared,1.328312635,1358.293335,13
64,QG,cp-shared,1.285640121,1430.64563,13
128,QG,cp-shared,1.237511873,1429.639893,13
256,QG,cp-shared,1.219662666,1432.163574,13
512,QG,cp-shared,1.208536983,2302.228271,13
16,QG,tucker,1.237706304,2495.997803,13
32,QG,tucker,1.22802949,2837.484375,13
64,QG,tucker,1.258199573,3397.739502,13
16,RQT,cp,1.28208518,306.2480164,13
32,RQT,cp,1.242312789,251.3040924,13
64,RQT,cp,1.217722297,312.2502747,13
128,RQT,cp,1.198298097,353.0215454,13
256,RQT,cp,1.183917999,483.2720947,13
512,RQT,cp,1.175025344,810.5205688,13
16,RQT,cp-shared,1.390679955,360.8372498,13
32,RQT,cp-shared,1.353299618,316.1561279,13
64,RQT,cp-shared,1.299589992,285.2833557,13
128,RQT,cp-shared,1.273918629,276.1113281,13
256,RQT,cp-shared,1.239011645,469.4830017,13
512,RQT,cp-shared,1.22403121,857.8477783,13
16,PD,cp,1.380032063,285.27005,17
32,PD,cp,1.379867792,211.9895935,17
64,PD,cp,1.381048679,182.9585876,17
128,PD,cp,1.379850626,213.558136,17
256,PD,cp,1.377768993,401.4734497,17
512,PD,cp,1.372072935,1305.154175,17
16,PD,cp-shared,1.393275023,360.3869629,17
32,PD,cp-shared,1.386796117,463.9968262,17
64,PD,cp-shared,1.382953286,380.790741,17
128,PD,cp-shared,1.383226871,429.6877136,17
256,PD,cp-shared,1.38749361,473.2377625,17
512,PD,cp-shared,1.384350538,730.1064453,17
16,PD,tucker,1.379114628,365.4013367,17
32,PD,tucker,1.375257373,339.8752136,17
